datetime,open,high,low,close
2025-09-12 08:00:00,1.17344,1.17406,1.17344,1.17386
2025-09-12 09:00:00,1.17388,1.17399,1.17329,1.17331
2025-09-12 10:00:00,1.17325,1.17341,1.1727,1.17329
2025-09-12 11:00:00,1.17335,1.17344,1.17253,1.17255
2025-09-12 12:00:00,1.1726,1.17291,1.17239,1.17268
2025-09-12 13:00:00,1.17265,1.1727,1.17227,1.17251
2025-09-12 14:00:00,1.17252,1.1727,1.17209,1.17256
2025-09-12 15:00:00,1.17258,1.17332,1.17241,1.1731
2025-09-12 16:00:00,1.17313,1.17402,1.1722,1.17393
2025-09-12 17:00:00,1.17398,1.17476,1.1737,1.17407
2025-09-12 18:00:00,1.17405,1.1741,1.17156,1.17172
2025-09-12 19:00:00,1.17171,1.17252,1.17126,1.17221
2025-09-12 20:00:00,1.17223,1.17347,1.1722,1.17339
2025-09-12 21:00:00,1.17338,1.17351,1.17206,1.17211
2025-09-12 22:00:00,1.17212,1.17227,1.17014,1.17123
2025-09-12 23:00:00,1.17121,1.17164,1.17033,1.17125
2025-09-13 00:00:00,1.17121,1.17279,1.17121,1.1725
2025-09-13 01:00:00,1.1725,1.17277,1.17133,1.17139
2025-09-13 02:00:00,1.17142,1.17317,1.171,1.17269
2025-09-13 03:00:00,1.17272,1.17378,1.17268,1.1732
2025-09-13 04:00:00,1.17322,1.17417,1.17322,1.17411
2025-09-13 05:00:00,1.17411,1.17414,1.17339,1.17364
2025-09-13 06:00:00,1.17357,1.17365,1.17287,1.17328
2025-09-13 07:00:00,1.17328,1.17328,1.17328,1.17328
2025-09-13 08:00:00,1.17328,1.17328,1.17328,1.17328
2025-09-15 09:00:00,1.17283,1.1731,1.1725,1.17253
2025-09-15 10:00:00,1.17262,1.17276,1.17219,1.17268
2025-09-15 11:00:00,1.17269,1.17294,1.17227,1.17275
2025-09-15 12:00:00,1.17274,1.17292,1.17247,1.17275
2025-09-15 13:00:00,1.17276,1.17343,1.1727,1.17312
2025-09-15 14:00:00,1.17312,1.17354,1.17308,1.1734
2025-09-15 15:00:00,1.17341,1.17343,1.17279,1.17283
2025-09-15 16:00:00,1.17284,1.17298,1.17162,1.17249
2025-09-15 17:00:00,1.17244,1.17441,1.17241,1.17336
2025-09-15 18:00:00,1.17337,1.17436,1.17299,1.1737
2025-09-15 19:00:00,1.17367,1.17516,1.17362,1.17462
2025-09-15 20:00:00,1.17466,1.17627,1.17466,1.17525
2025-09-15 21:00:00,1.17528,1.17632,1.17528,1.17609
2025-09-15 22:00:00,1.17614,1.17709,1.17614,1.17695
2025-09-15 23:00:00,1.17697,1.1773,1.17577,1.17588
2025-09-16 00:00:00,1.17586,1.17604,1.17507,1.17577
2025-09-16 01:00:00,1.17576,1.17721,1.17564,1.17713
2025-09-16 02:00:00,1.17715,1.17744,1.17563,1.17585
2025-09-16 03:00:00,1.17582,1.17727,1.1758,1.17709
2025-09-16 04:00:00,1.17708,1.17723,1.17662,1.17694
2025-09-16 05:00:00,1.17696,1.1772,1.17644,1.17657
2025-09-16 06:00:00,1.17658,1.17685,1.176,1.1761
2025-09-16 07:00:00,1.1761,1.17648,1.1761,1.17642
2025-09-16 08:00:00,1.17648,1.17659,1.17616,1.17627
2025-09-16 09:00:00,1.1763,1.17658,1.17627,1.1763
2025-09-16 10:00:00,1.17629,1.17659,1.17574,1.1762
2025-09-16 11:00:00,1.17622,1.17693,1.1758,1.17674
2025-09-16 12:00:00,1.17673,1.17773,1.17673,1.17765
2025-09-16 13:00:00,1.1777,1.17867,1.17742,1.17797
2025-09-16 14:00:00,1.17803,1.17803,1.1774,1.17768
2025-09-16 15:00:00,1.17768,1.17802,1.17736,1.17781
2025-09-16 16:00:00,1.17781,1.17911,1.17779,1.17873
2025-09-16 17:00:00,1.17867,1.18017,1.17866,1.17945
2025-09-16 18:00:00,1.17943,1.18036,1.17901,1.17946
2025-09-16 19:00:00,1.1795,1.18179,1.1795,1.18139
2025-09-16 20:00:00,1.18144,1.18154,1.18043,1.18081
2025-09-16 21:00:00,1.18088,1.18213,1.18013,1.18139
2025-09-16 22:00:00,1.18142,1.18153,1.1791,1.18042
2025-09-16 23:00:00,1.18043,1.18271,1.18042,1.1824
2025-09-17 00:00:00,1.18239,1.18531,1.18212,1.18517
2025-09-17 01:00:00,1.18516,1.18531,1.1835,1.18472
2025-09-17 02:00:00,1.18471,1.18717,1.18463,1.18647
2025-09-17 03:00:00,1.18643,1.18782,1.18635,1.1866
2025-09-17 04:00:00,1.18661,1.1871,1.18613,1.18666
2025-09-17 05:00:00,1.18664,1.18689,1.18582,1.18603
2025-09-17 06:00:00,1.18593,1.18686,1.18583,1.1867
2025-09-17 07:00:00,1.18668,1.18668,1.18545,1.18628
2025-09-17 08:00:00,1.18647,1.18682,1.18638,1.18659
2025-09-17 09:00:00,1.18664,1.18728,1.18657,1.18709
2025-09-17 10:00:00,1.18712,1.1873,1.18578,1.18583
2025-09-17 11:00:00,1.18581,1.18593,1.18521,1.1856
2025-09-17 12:00:00,1.18557,1.18578,1.18512,1.18555
