run_id,time_utc,symbol,tf,type,score,bias,entry,stop,target,why,cadence_min,watchlist,engine
b3f5eb72,2025-10-09 09:29:27Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
b3f5eb72,2025-10-09 09:29:35Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
03929736,2025-10-09 09:34:14Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
03929736,2025-10-09 09:34:27Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
03929736,2025-10-09 09:34:32Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
03929736,2025-10-09 09:34:40Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
765266b2,2025-10-09 09:39:14Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
765266b2,2025-10-09 09:39:27Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
765266b2,2025-10-09 09:39:31Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
765266b2,2025-10-09 09:39:40Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
52b1baa9,2025-10-09 09:44:15Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
52b1baa9,2025-10-09 09:44:28Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
52b1baa9,2025-10-09 09:44:32Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
52b1baa9,2025-10-09 09:44:54Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
45fe3476,2025-10-09 09:49:16Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
45fe3476,2025-10-09 09:49:28Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
45fe3476,2025-10-09 09:49:34Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
45fe3476,2025-10-09 09:49:43Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
c745e597,2025-10-09 09:54:15Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
c745e597,2025-10-09 09:54:32Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
c745e597,2025-10-09 09:54:41Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
c745e597,2025-10-09 09:54:56Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
1150bbb7,2025-10-09 09:59:16Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
1150bbb7,2025-10-09 09:59:26Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
1150bbb7,2025-10-09 09:59:30Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
1150bbb7,2025-10-09 09:59:36Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
933ab4b7,2025-10-09 10:14:18Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
933ab4b7,2025-10-09 10:14:32Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
933ab4b7,2025-10-09 10:14:38Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
933ab4b7,2025-10-09 10:14:48Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
7bd6c6cd,2025-10-09 10:42:03Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
7bd6c6cd,2025-10-09 10:42:03Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
7bd6c6cd,2025-10-09 10:42:03Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
7bd6c6cd,2025-10-09 10:42:04Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
50305ee6,2025-10-09 10:47:04Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
50305ee6,2025-10-09 10:47:04Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
50305ee6,2025-10-09 10:47:04Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
50305ee6,2025-10-09 10:47:05Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
41899203,2025-10-09 10:52:03Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
41899203,2025-10-09 10:52:10Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
41899203,2025-10-09 10:52:12Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
41899203,2025-10-09 10:52:18Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
4927723c,2025-10-09 10:57:04Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
