time,open,high,low,close
2024-03-20,1.086331,1.087429,1.083694,1.086331
2024-03-21,1.093721,1.094451,1.085647,1.093721
2024-03-22,1.086236,1.086957,1.080906,1.086236
2024-03-25,1.080754,1.084363,1.080264,1.080754
2024-03-26,1.083823,1.086413,1.082603,1.083823
2024-03-27,1.083236,1.083929,1.081175,1.083236
2024-03-28,1.081338,1.082837,1.077551,1.081338
2024-03-29,1.079447,1.080731,1.076890,1.079447
2024-04-01,1.079273,1.080147,1.073157,1.079273
2024-04-02,1.073722,1.077877,1.072536,1.073722
2024-04-03,1.076855,1.083189,1.076473,1.076855
2024-04-04,1.083835,1.087583,1.083506,1.083835
2024-04-05,1.083705,1.084846,1.079168,1.083705
2024-04-08,1.083048,1.085835,1.082157,1.083048
2024-04-09,1.086366,1.088850,1.084987,1.086366
2024-04-10,1.085930,1.086838,1.073376,1.085930
2024-04-11,1.074172,1.075581,1.070045,1.074172
2024-04-12,1.072685,1.072961,1.062372,1.072685
2024-04-15,1.064963,1.066553,1.062361,1.064963
2024-04-16,1.062575,1.065405,1.060412,1.062575
2024-04-17,1.062146,1.065269,1.060817,1.062146
2024-04-18,1.066940,1.069176,1.064781,1.066940
2024-04-19,1.064419,1.068034,1.061177,1.064419
2024-04-22,1.065780,1.067122,1.062507,1.065825
2024-04-23,1.065405,1.070996,1.063932,1.065405
2024-04-24,1.070435,1.071582,1.067920,1.070435
2024-04-25,1.069988,1.073192,1.067874,1.069988
2024-04-26,1.072961,1.075292,1.067555,1.072961
2024-04-29,1.070687,1.073537,1.069096,1.070687
2024-04-30,1.071570,1.073653,1.068433,1.071570
2024-05-01,1.066655,1.068867,1.065008,1.066655
2024-05-02,1.072156,1.073076,1.067578,1.072156
2024-05-03,1.073307,1.080941,1.072501,1.073307
2024-05-06,1.075812,1.079214,1.075639,1.075812
2024-05-07,1.076751,1.078981,1.075581,1.076751
2024-05-08,1.075049,1.075847,1.073572,1.075049
2024-05-09,1.074691,1.078283,1.072513,1.074691
2024-05-10,1.078516,1.079331,1.076206,1.078516
2024-05-13,1.077041,1.080731,1.076646,1.077041
2024-05-14,1.079354,1.082837,1.077644,1.079354
2024-05-15,1.081455,1.087429,1.081362,1.081455
2024-05-16,1.088981,1.089681,1.085517,1.088981
2024-05-17,1.086779,1.087891,1.083635,1.086779
2024-05-20,1.087548,1.088495,1.085505,1.087548
2024-05-21,1.086083,1.087548,1.084599,1.086083
2024-05-22,1.085517,1.086484,1.082251,1.085517
2024-05-23,1.082520,1.086130,1.081303,1.082520
2024-05-24,1.081268,1.085658,1.080614,1.081268
2024-05-27,1.084763,1.086720,1.084175,1.084763
2024-05-28,1.086189,1.088945,1.085906,1.086189
2024-05-29,1.085187,1.085894,1.080953,1.085187
2024-05-30,1.080182,1.084599,1.078900,1.080182
2024-05-31,1.083541,1.088258,1.081163,1.083541
2024-06-03,1.085305,1.089087,1.082802,1.085305
2024-06-04,1.090739,1.091822,1.086071,1.090739
2024-06-05,1.088187,1.088992,1.086095,1.088187
2024-06-06,1.087453,1.089871,1.086366,1.087453
2024-06-07,1.089443,1.090180,1.080497,1.089443
2024-06-10,1.077888,1.078283,1.073364,1.077888
2024-06-11,1.076426,1.077354,1.072110,1.076426
2024-06-12,1.074033,1.085175,1.073503,1.074033
2024-06-13,1.081315,1.081783,1.075384,1.081315
2024-06-14,1.073883,1.074576,1.066815,1.073883
2024-06-17,1.070217,1.072616,1.068764,1.070217
2024-06-18,1.074068,1.076125,1.071111,1.074068
2024-06-19,1.074229,1.075327,1.072628,1.074229
2024-06-20,1.075153,1.075153,1.070755,1.075153
2024-06-21,1.070641,1.072271,1.067190,1.070641
2024-06-24,1.068776,1.074703,1.068444,1.068776
2024-06-25,1.073272,1.074576,1.069221,1.073272
2024-06-26,1.070962,1.072041,1.066769,1.070962
2024-06-27,1.068011,1.072616,1.067783,1.068011
2024-06-28,1.070847,1.072099,1.068604,1.070847
2024-07-01,1.073526,1.077819,1.072076,1.073526
2024-07-02,1.073710,1.074610,1.071065,1.073710
2024-07-03,1.074841,1.081560,1.073710,1.074841
2024-07-04,1.079331,1.081666,1.078423,1.079331
2024-07-05,1.081069,1.083835,1.081069,1.081069
2024-07-08,1.082603,1.084716,1.081514,1.082603
2024-07-09,1.083095,1.083424,1.080625,1.083095
2024-07-10,1.081479,1.082872,1.081186,1.081479
2024-07-11,1.083330,1.089835,1.083295,1.083330
2024-07-12,1.087276,1.091119,1.086307,1.087276
2024-07-15,1.088554,1.092192,1.088435,1.088554
2024-07-16,1.090156,1.090631,1.087216,1.090156
2024-07-17,1.090251,1.094715,1.089633,1.090251
2024-07-18,1.094020,1.094212,1.090536,1.094020
2024-07-19,1.090156,1.090156,1.087737,1.090156
2024-07-22,1.089918,1.090156,1.087370,1.089918
2024-07-23,1.088981,1.090037,1.084446,1.088981
2024-07-24,1.085069,1.086649,1.082673,1.085069
2024-07-25,1.083952,1.086437,1.082931,1.083952
2024-07-26,1.085128,1.086850,1.084269,1.085128
2024-07-29,1.085376,1.087193,1.080310,1.085376
2024-07-30,1.081947,1.083776,1.079995,1.081947
2024-07-31,1.081607,1.085187,1.080871,1.081607
2024-08-01,1.082392,1.083776,1.077830,1.082392
2024-08-02,1.078760,1.092622,1.078295,1.078760
2024-08-05,1.091084,1.10074,1.089372,1.091084
2024-08-06,1.095098,1.096311,1.090465,1.095098
2024-08-07,1.092622,1.093637,1.090691,1.092622
2024-08-08,1.092813,1.094691,1.088234,1.092813
2024-08-09,1.091572,1.093135,1.090965,1.091572
2024-08-12,1.091381,1.093972,1.091334,1.091381
2024-08-13,1.093625,1.096251,1.091572,1.093625
2024-08-14,1.099699,1.10485,1.098829,1.099699
2024-08-15,1.10132,1.10169,1.095050,1.10132
2024-08-16,1.097273,1.10044,1.097273,1.097273
2024-08-19,1.10250,1.10726,1.10239,1.10250
2024-08-20,1.10865,1.11173,1.10725,1.10865
2024-08-21,1.11279,1.11483,1.11056,1.11279
2024-08-22,1.11554,1.11575,1.10993,1.11554
2024-08-23,1.11172,1.11960,1.11068,1.11172
2024-08-26,1.11879,1.12011,1.11529,1.11879
2024-08-27,1.11647,1.11796,1.11513,1.11647
